slot,user_id,traffic_type,arrivals_bits,delivered_bits,capacity_bits,buffer_bits,sinr_linear,rbg_count
19,4,URLLC,946.0,946.0,548502.0179661575,0.0,15571072400.887222,3
19,5,mMTC,431.0,431.0,288479.4971601925,0.0,109857988.36116448,2
20,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
20,1,URLLC,923.0,923.0,466140.82221938553,0.0,459065516.66790885,3
20,2,mMTC,448.0,448.0,420777.7362791648,0.0,65907271.80327702,3
20,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
20,4,URLLC,846.0,846.0,548502.0179661575,0.0,15571072400.887222,3
20,5,mMTC,478.0,478.0,288479.4971601925,0.0,109857988.36116448,2
21,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
21,1,URLLC,879.0,879.0,466140.82221938553,0.0,459065516.66790885,3
21,2,mMTC,461.0,461.0,420777.7362791648,0.0,65907271.80327702,3
21,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
21,4,URLLC,935.0,935.0,548502.0179661575,0.0,15571072400.887222,3
21,5,mMTC,455.0,455.0,288479.4971601925,0.0,109857988.36116448,2
22,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
22,1,URLLC,859.0,859.0,466140.82221938553,0.0,459065516.66790885,3
22,2,mMTC,453.0,453.0,420777.7362791648,0.0,65907271.80327702,3
22,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
22,4,URLLC,848.0,848.0,548502.0179661575,0.0,15571072400.887222,3
22,5,mMTC,449.0,449.0,288479.4971601925,0.0,109857988.36116448,2
23,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
23,1,URLLC,906.0,906.0,466140.82221938553,0.0,459065516.66790885,3
23,2,mMTC,460.0,460.0,420777.7362791648,0.0,65907271.80327702,3
23,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
23,4,URLLC,877.0,877.0,548502.0179661575,0.0,15571072400.887222,3
23,5,mMTC,456.0,456.0,288479.4971601925,0.0,109857988.36116448,2
24,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
24,1,URLLC,907.0,907.0,466140.82221938553,0.0,459065516.66790885,3
24,2,mMTC,413.0,413.0,420777.7362791648,0.0,65907271.80327702,3
24,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
24,4,URLLC,872.0,872.0,548502.0179661575,0.0,15571072400.887222,3
24,5,mMTC,477.0,477.0,288479.4971601925,0.0,109857988.36116448,2
25,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
25,1,URLLC,921.0,921.0,466140.82221938553,0.0,459065516.66790885,3
25,2,mMTC,451.0,451.0,420777.7362791648,0.0,65907271.80327702,3
25,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
25,4,URLLC,864.0,864.0,548502.0179661575,0.0,15571072400.887222,3
25,5,mMTC,432.0,432.0,288479.4971601925,0.0,109857988.36116448,2
26,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
26,1,URLLC,905.0,905.0,466140.82221938553,0.0,459065516.66790885,3
26,2,mMTC,481.0,481.0,420777.7362791648,0.0,65907271.80327702,3
26,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
26,4,URLLC,887.0,887.0,548502.0179661575,0.0,15571072400.887222,3
26,5,mMTC,433.0,433.0,288479.4971601925,0.0,109857988.36116448,2
27,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
27,1,URLLC,928.0,928.0,466140.82221938553,0.0,459065516.66790885,3
27,2,mMTC,423.0,423.0,420777.7362791648,0.0,65907271.80327702,3
27,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
